,Date,Region,PigeonCount,O3
0,2020-11-25,DE-BE,0,14.208181818181815
1,2020-11-26,DE-BE,1,14.99375
2,2020-11-27,DE-BE,5,2.21
3,2020-11-28,DE-BE,1,32.985416666666666
4,2020-11-29,DE-BE,0,28.344583333333333
5,2020-11-30,DE-BE,2,24.03916666666667
6,2020-12-01,DE-BE,1,20.065
7,2020-12-02,DE-BE,1,3.155416666666667
8,2020-12-03,DE-BE,0,28.596666666666664
9,2020-12-04,DE-BE,0,27.217916666666667
10,2020-12-05,DE-BE,5,28.754583333333333
11,2020-12-06,DE-BE,6,40.912083333333335
12,2020-12-07,DE-BE,1,33.52916666666667
13,2020-12-08,DE-BE,10,11.224583333333332
14,2020-12-09,DE-BE,1,18.40625
15,2020-12-10,DE-BE,0,25.93583333333333
16,2020-12-11,DE-BE,0,21.059166666666663
17,2020-12-12,DE-BE,0,11.196666666666664
18,2020-12-13,DE-BE,0,1.1208333333333331
19,2020-12-14,DE-BE,0,2.017916666666667
20,2020-12-15,DE-BE,0,5.239583333333333
21,2020-12-16,DE-BE,0,5.88
22,2020-12-17,DE-BE,0,12.07625
23,2020-12-18,DE-BE,14,6.7820833333333335
24,2020-12-19,DE-BE,5,17.45958333333333
25,2020-12-20,DE-BE,0,10.2925
26,2020-12-21,DE-BE,1,8.937916666666666
27,2020-12-22,DE-BE,0,34.220416666666665
28,2020-12-23,DE-BE,0,6.73125
29,2020-12-24,DE-BE,0,33.76291666666666
30,2020-12-25,DE-BE,0,45.16625
31,2020-12-26,DE-BE,3,37.95333333333333
32,2020-12-27,DE-BE,0,62.91333333333333
33,2020-12-28,DE-BE,0,22.73625
34,2020-12-29,DE-BE,0,15.458333333333334
35,2020-12-30,DE-BE,0,8.713333333333333
36,2020-12-31,DE-BE,12,4.014166666666667
37,2021-01-01,DE-BE,1,0.5241666666666667
38,2021-01-02,DE-BE,2,0.7833333333333333
39,2021-01-03,DE-BE,0,34.89083333333333
40,2021-01-04,DE-BE,0,22.45625
41,2021-01-05,DE-BE,0,20.817083333333333
42,2021-01-06,DE-BE,1,27.126666666666665
43,2021-01-07,DE-BE,1,14.160000000000002
44,2021-01-08,DE-BE,0,1.32125
45,2021-01-09,DE-BE,2,1.01625
46,2021-01-10,DE-BE,1,14.411666666666669
47,2021-01-11,DE-BE,1,36.64333333333334
48,2021-01-12,DE-BE,0,42.34875
49,2021-01-13,DE-BE,0,59.992916666666666
50,2021-01-14,DE-BE,0,33.528333333333336
51,2021-01-15,DE-BE,0,49.04750000000001
52,2021-01-16,DE-BE,1,55.92416666666667
53,2021-01-17,DE-BE,5,21.000416666666663
54,2021-01-18,DE-BE,50,13.583333333333334
55,2021-01-19,DE-BE,0,38.93625
56,2021-01-20,DE-BE,0,53.59916666666666
57,2021-01-21,DE-BE,1,64.82041666666667
58,2021-01-22,DE-BE,0,44.29749999999999
59,2021-01-23,DE-BE,0,4.164166666666667
60,2021-01-24,DE-BE,2,31.63291666666667
61,2021-01-25,DE-BE,1,30.61125
62,2021-01-26,DE-BE,1,21.152916666666663
63,2021-01-27,DE-BE,0,44.345
64,2021-01-28,DE-BE,0,25.12909090909091
65,2021-01-29,DE-BE,0,27.62291666666667
66,2021-01-30,DE-BE,3,25.54625
67,2021-01-31,DE-BE,1,4.198333333333333
68,2021-02-01,DE-BE,0,29.312083333333334
69,2021-02-02,DE-BE,1,7.210416666666666
70,2021-02-03,DE-BE,5,0.1808333333333333
71,2021-02-04,DE-BE,8,32.471250000000005
72,2021-02-05,DE-BE,1,46.84916666666667
73,2021-02-06,DE-BE,2,61.25958333333333
74,2021-02-07,DE-BE,1,84.10083333333334
75,2021-02-08,DE-BE,0,73.19458333333334
76,2021-02-09,DE-BE,1,24.27333333333333
77,2021-02-10,DE-BE,0,3.85375
78,2021-02-11,DE-BE,1,32.59166666666666
79,2021-02-12,DE-BE,1,33.25416666666667
80,2021-02-13,DE-BE,8,31.232916666666668
81,2021-02-14,DE-BE,1,19.62833333333333
82,2021-02-15,DE-BE,8,23.24875
83,2021-02-16,DE-BE,1,17.678749999999997
84,2021-02-17,DE-BE,0,27.0375
85,2021-02-18,DE-BE,18,15.690416666666666
86,2021-02-19,DE-BE,3,29.89625
87,2021-02-20,DE-BE,2,16.489166666666666
88,2021-02-21,DE-BE,1,20.105
89,2021-02-22,DE-BE,1,9.611666666666666
90,2021-02-23,DE-BE,8,9.686666666666666
91,2021-02-24,DE-BE,1,25.690416666666668
92,2021-02-25,DE-BE,1,24.4475
93,2021-02-26,DE-BE,8,40.650416666666665
94,2021-02-27,DE-BE,14,60.48416666666666
95,2021-02-28,DE-BE,1,40.7925
96,2021-03-01,DE-BE,1,19.50625
97,2021-03-02,DE-BE,5,11.442083333333334
98,2021-03-03,DE-BE,15,20.55666666666667
99,2021-03-04,DE-BE,40,49.3825
100,2021-03-05,DE-BE,3,45.09291666666667
101,2021-03-06,DE-BE,1,51.30583333333333
102,2021-03-07,DE-BE,1,75.75791666666667
103,2021-03-08,DE-BE,1,46.687916666666666
104,2021-03-09,DE-BE,0,29.78875
105,2021-03-10,DE-BE,0,35.86958333333333
106,2021-03-11,DE-BE,0,55.00083333333333
107,2021-03-12,DE-BE,0,53.779583333333335
108,2021-03-13,DE-BE,15,61.81125
109,2021-03-14,DE-BE,2,60.51499999999999
110,2021-03-15,DE-BE,4,47.26583333333334
111,2021-03-16,DE-BE,1,51.98875
112,2021-03-17,DE-BE,1,33.37208333333333
113,2021-03-18,DE-BE,2,20.71
114,2021-03-19,DE-BE,3,51.88625
115,2021-03-20,DE-BE,1,69.17166666666667
116,2021-03-21,DE-BE,0,71.64583333333333
117,2021-03-22,DE-BE,1,44.16833333333333
118,2021-03-23,DE-BE,0,56.71458333333334
119,2021-03-24,DE-BE,1,21.1275
120,2021-03-25,DE-BE,2,14.934583333333334
121,2021-03-26,DE-BE,6,17.517500000000002
122,2021-03-27,DE-BE,20,50.16583333333333
123,2021-03-28,DE-BE,1,62.13478260869565
124,2021-03-29,DE-BE,1,58.711666666666666
125,2021-03-30,DE-BE,20,50.11625
126,2021-03-31,DE-BE,1,27.152083333333334
127,2021-04-01,DE-BE,1,54.51500000000001
128,2021-04-02,DE-BE,1,77.48583333333333
129,2021-04-03,DE-BE,1,65.29791666666667
130,2021-04-04,DE-BE,0,48.97291666666666
131,2021-04-05,DE-BE,0,75.10291666666667
132,2021-04-06,DE-BE,0,73.25375
133,2021-04-07,DE-BE,1,74.20833333333333
134,2021-04-08,DE-BE,2,79.15625
135,2021-04-09,DE-BE,1,67.77791666666667
136,2021-04-10,DE-BE,4,37.60375
137,2021-04-11,DE-BE,1,58.68208333333334
138,2021-04-12,DE-BE,1,63.56916666666667
139,2021-04-13,DE-BE,1,63.49458333333334
140,2021-04-14,DE-BE,0,74.47791666666667
141,2021-04-15,DE-BE,4,78.64833333333333
142,2021-04-16,DE-BE,1,86.1275
143,2021-04-17,DE-BE,1,68.24833333333333
144,2021-04-18,DE-BE,1,38.63916666666667
145,2021-04-19,DE-BE,1,40.07791666666667
146,2021-04-20,DE-BE,0,45.540416666666665
147,2021-04-21,DE-BE,1,55.96833333333333
148,2021-04-22,DE-BE,15,80.58541666666666
149,2021-04-23,DE-BE,1,75.02624999999999
150,2021-04-24,DE-BE,1,63.97
151,2021-04-25,DE-BE,3,43.02583333333333
152,2021-04-26,DE-BE,2,48.63458333333333
153,2021-04-27,DE-BE,2,60.03666666666667
154,2021-04-28,DE-BE,1,71.85458333333334
155,2021-04-29,DE-BE,1,59.723333333333336
156,2021-04-30,DE-BE,0,72.83749999999999
157,2021-05-01,DE-BE,1,58.41375
158,2021-05-02,DE-BE,1,44.33125
159,2021-05-03,DE-BE,1,83.74499999999999
160,2021-05-04,DE-BE,1,79.4225
161,2021-05-05,DE-BE,1,79.84041666666667
162,2021-05-06,DE-BE,1,63.85416666666666
163,2021-05-07,DE-BE,1,43.655
164,2021-05-08,DE-BE,2,60.248333333333335
165,2021-05-09,DE-BE,0,83.29875
166,2021-05-10,DE-BE,1,96.97833333333334
167,2021-05-11,DE-BE,6,72.39166666666667
168,2021-05-12,DE-BE,1,62.91166666666666
169,2021-05-13,DE-BE,1,50.79833333333334
170,2021-05-14,DE-BE,2,56.520833333333336
171,2021-05-15,DE-BE,1,52.86291666666667
172,2021-05-16,DE-BE,1,44.65875
173,2021-05-17,DE-BE,0,35.800000000000004
174,2021-05-18,DE-BE,0,29.16125
175,2021-05-19,DE-BE,1,39.1975
176,2021-05-20,DE-BE,0,46.59625
177,2021-05-21,DE-BE,2,59.70125
178,2021-05-22,DE-BE,0,64.10583333333334
179,2021-05-23,DE-BE,1,56.40875
180,2021-05-24,DE-BE,1,50.27791666666667
181,2021-05-25,DE-BE,1,52.08041666666667
182,2021-05-26,DE-BE,0,57.84708333333333
183,2021-05-27,DE-BE,1,56.490833333333335
184,2021-05-28,DE-BE,0,42.63791666666667
185,2021-05-29,DE-BE,5,52.76125
186,2021-05-30,DE-BE,6,78.85791666666667
187,2021-05-31,DE-BE,1,58.87083333333334
188,2021-06-01,DE-BE,0,54.19166666666666
189,2021-06-02,DE-BE,0,72.44791666666667
190,2021-06-03,DE-BE,0,88.89999999999999
191,2021-06-04,DE-BE,2,90.06291666666668
192,2021-06-05,DE-BE,1,75.08791666666666
193,2021-06-06,DE-BE,3,76.26458333333333
194,2021-06-07,DE-BE,4,84.07333333333334
195,2021-06-08,DE-BE,2,73.76125
196,2021-06-09,DE-BE,1,55.80083333333334
197,2021-06-10,DE-BE,0,60.52041666666667
198,2021-06-11,DE-BE,3,59.87083333333334
199,2021-06-12,DE-BE,10,44.38041666666667
200,2021-06-13,DE-BE,0,63.07708333333333
201,2021-06-14,DE-BE,0,49.247083333333336
202,2021-06-15,DE-BE,0,56.31916666666667
