Date,Region,SpeciesRichness
2020/03/01,DE-SH-KI,0
2020/03/01,DE-SH-NF,0
2020/03/02,DE-SH-KI,0
2020/03/02,DE-SH-NF,34
2020/03/03,DE-SH-KI,0
2020/03/03,DE-SH-NF,0
2020/03/04,DE-SH-KI,0
2020/03/04,DE-SH-NF,0
2020/03/05,DE-SH-KI,0
2020/03/05,DE-SH-NF,0
2020/03/06,DE-SH-KI,0
2020/03/06,DE-SH-NF,8
2020/03/07,DE-SH-KI,1
2020/03/07,DE-SH-NF,22
2020/03/08,DE-SH-KI,12
2020/03/08,DE-SH-NF,0
2020/03/09,DE-SH-KI,6
2020/03/09,DE-SH-NF,0
2020/03/10,DE-SH-KI,13
2020/03/10,DE-SH-NF,0
2020/03/11,DE-SH-KI,18
2020/03/11,DE-SH-NF,0
2020/03/12,DE-SH-KI,20
2020/03/12,DE-SH-NF,0
2020/03/13,DE-SH-KI,4
2020/03/13,DE-SH-NF,16
2020/03/14,DE-SH-KI,0
2020/03/14,DE-SH-NF,70
2020/03/15,DE-SH-KI,6
2020/03/15,DE-SH-NF,31
2020/03/16,DE-SH-KI,10
2020/03/16,DE-SH-NF,0
2020/03/17,DE-SH-KI,8
2020/03/17,DE-SH-NF,18
2020/03/18,DE-SH-KI,0
2020/03/18,DE-SH-NF,14
2020/03/19,DE-SH-KI,13
2020/03/19,DE-SH-NF,17
2020/03/20,DE-SH-KI,0
2020/03/20,DE-SH-NF,17
2020/03/21,DE-SH-KI,0
2020/03/21,DE-SH-NF,67
2020/03/22,DE-SH-KI,0
2020/03/22,DE-SH-NF,11
2020/03/23,DE-SH-KI,4
2020/03/23,DE-SH-NF,13
2020/03/24,DE-SH-KI,1
2020/03/24,DE-SH-NF,13
2020/03/25,DE-SH-KI,18
2020/03/25,DE-SH-NF,12
2020/03/26,DE-SH-KI,0
2020/03/26,DE-SH-NF,14
2020/03/27,DE-SH-KI,0
2020/03/27,DE-SH-NF,16
2020/03/28,DE-SH-KI,0
2020/03/28,DE-SH-NF,28
2020/03/29,DE-SH-KI,14
2020/03/29,DE-SH-NF,22
2020/03/30,DE-SH-KI,12
2020/03/30,DE-SH-NF,13
2020/03/31,DE-SH-KI,0
2020/03/31,DE-SH-NF,0
2020/04/01,DE-SH-KI,0
2020/04/01,DE-SH-NF,17
2020/04/02,DE-SH-KI,0
2020/04/02,DE-SH-NF,17
2020/04/03,DE-SH-KI,0
2020/04/03,DE-SH-NF,0
2020/04/04,DE-SH-KI,7
2020/04/04,DE-SH-NF,69
2020/04/05,DE-SH-KI,6
2020/04/05,DE-SH-NF,36
2020/04/06,DE-SH-KI,0
2020/04/06,DE-SH-NF,84
2020/04/07,DE-SH-KI,0
2020/04/07,DE-SH-NF,18
2020/04/08,DE-SH-KI,0
2020/04/08,DE-SH-NF,14
2020/04/09,DE-SH-KI,0
2020/04/09,DE-SH-NF,0
2020/04/10,DE-SH-KI,0
2020/04/10,DE-SH-NF,12
2020/04/11,DE-SH-KI,0
2020/04/11,DE-SH-NF,28
2020/04/12,DE-SH-KI,0
2020/04/12,DE-SH-NF,41
2020/04/13,DE-SH-KI,0
2020/04/13,DE-SH-NF,26
2020/04/14,DE-SH-KI,0
2020/04/14,DE-SH-NF,0
2020/04/15,DE-SH-KI,9
2020/04/15,DE-SH-NF,0
2020/04/16,DE-SH-KI,12
2020/04/16,DE-SH-NF,0
2020/04/17,DE-SH-KI,0
2020/04/17,DE-SH-NF,0
2020/04/18,DE-SH-KI,0
2020/04/18,DE-SH-NF,8
2020/04/19,DE-SH-KI,0
2020/04/19,DE-SH-NF,92
2020/04/20,DE-SH-KI,0
2020/04/20,DE-SH-NF,40
2020/04/21,DE-SH-KI,0
2020/04/21,DE-SH-NF,0
2020/04/22,DE-SH-KI,0
2020/04/22,DE-SH-NF,0
2020/04/23,DE-SH-KI,0
2020/04/23,DE-SH-NF,38
2020/04/24,DE-SH-KI,0
2020/04/24,DE-SH-NF,0
2020/04/25,DE-SH-KI,0
2020/04/25,DE-SH-NF,17
2020/04/26,DE-SH-KI,0
2020/04/26,DE-SH-NF,43
2020/04/27,DE-SH-KI,1
2020/04/27,DE-SH-NF,106
2020/04/28,DE-SH-KI,0
2020/04/28,DE-SH-NF,17
2020/04/29,DE-SH-KI,0
2020/04/29,DE-SH-NF,25
2020/04/30,DE-SH-KI,0
2020/04/30,DE-SH-NF,0
2021/03/01,DE-SH-KI,14
2021/03/01,DE-SH-NF,4
2021/03/02,DE-SH-KI,14
2021/03/02,DE-SH-NF,24
2021/03/03,DE-SH-KI,0
2021/03/03,DE-SH-NF,41
2021/03/04,DE-SH-KI,0
2021/03/04,DE-SH-NF,36
2021/03/05,DE-SH-KI,22
2021/03/05,DE-SH-NF,44
2021/03/06,DE-SH-KI,0
2021/03/06,DE-SH-NF,41
2021/03/07,DE-SH-KI,0
2021/03/07,DE-SH-NF,0
2021/03/08,DE-SH-KI,0
2021/03/08,DE-SH-NF,71
2021/03/09,DE-SH-KI,12
2021/03/09,DE-SH-NF,7
2021/03/10,DE-SH-KI,0
2021/03/10,DE-SH-NF,13
2021/03/11,DE-SH-KI,22
2021/03/11,DE-SH-NF,0
2021/03/12,DE-SH-KI,0
2021/03/12,DE-SH-NF,0
2021/03/13,DE-SH-KI,0
2021/03/13,DE-SH-NF,0
2021/03/14,DE-SH-KI,0
2021/03/14,DE-SH-NF,0
2021/03/15,DE-SH-KI,0
2021/03/15,DE-SH-NF,0
2021/03/16,DE-SH-KI,14
2021/03/16,DE-SH-NF,6
2021/03/17,DE-SH-KI,0
2021/03/17,DE-SH-NF,14
2021/03/18,DE-SH-KI,0
2021/03/18,DE-SH-NF,14
2021/03/19,DE-SH-KI,0
2021/03/19,DE-SH-NF,44
2021/03/20,DE-SH-KI,0
2021/03/20,DE-SH-NF,0
2021/03/21,DE-SH-KI,0
2021/03/21,DE-SH-NF,37
2021/03/22,DE-SH-KI,0
2021/03/22,DE-SH-NF,52
2021/03/23,DE-SH-KI,0
2021/03/23,DE-SH-NF,16
2021/03/24,DE-SH-KI,18
2021/03/24,DE-SH-NF,32
2021/03/25,DE-SH-KI,30
2021/03/25,DE-SH-NF,27
2021/03/26,DE-SH-KI,0
2021/03/26,DE-SH-NF,58
2021/03/27,DE-SH-KI,0
2021/03/27,DE-SH-NF,0
2021/03/28,DE-SH-KI,0
2021/03/28,DE-SH-NF,0
2021/03/29,DE-SH-KI,0
2021/03/29,DE-SH-NF,2
2021/03/30,DE-SH-KI,22
2021/03/30,DE-SH-NF,1
2021/03/31,DE-SH-KI,0
2021/03/31,DE-SH-NF,17
2021/04/01,DE-SH-KI,0
2021/04/01,DE-SH-NF,7
2021/04/02,DE-SH-KI,0
2021/04/02,DE-SH-NF,5
2021/04/03,DE-SH-KI,0
2021/04/03,DE-SH-NF,22
2021/04/04,DE-SH-KI,0
2021/04/04,DE-SH-NF,0
2021/04/05,DE-SH-KI,0
2021/04/05,DE-SH-NF,8
2021/04/06,DE-SH-KI,0
2021/04/06,DE-SH-NF,0
2021/04/07,DE-SH-KI,0
2021/04/07,DE-SH-NF,17
2021/04/08,DE-SH-KI,0
2021/04/08,DE-SH-NF,30
2021/04/09,DE-SH-KI,0
2021/04/09,DE-SH-NF,14
2021/04/10,DE-SH-KI,37
2021/04/10,DE-SH-NF,76
2021/04/11,DE-SH-KI,0
2021/04/11,DE-SH-NF,50
2021/04/12,DE-SH-KI,0
2021/04/12,DE-SH-NF,0
2021/04/13,DE-SH-KI,0
2021/04/13,DE-SH-NF,26
2021/04/14,DE-SH-KI,1
2021/04/14,DE-SH-NF,3
2021/04/15,DE-SH-KI,0
2021/04/15,DE-SH-NF,65
2021/04/16,DE-SH-KI,0
2021/04/16,DE-SH-NF,101
2021/04/17,DE-SH-KI,6
2021/04/17,DE-SH-NF,0
2021/04/18,DE-SH-KI,0
2021/04/18,DE-SH-NF,36
2021/04/19,DE-SH-KI,0
2021/04/19,DE-SH-NF,7
2021/04/20,DE-SH-KI,0
2021/04/20,DE-SH-NF,0
2021/04/21,DE-SH-KI,0
2021/04/21,DE-SH-NF,55
2021/04/22,DE-SH-KI,0
2021/04/22,DE-SH-NF,13
2021/04/23,DE-SH-KI,0
2021/04/23,DE-SH-NF,42
2021/04/24,DE-SH-KI,35
2021/04/24,DE-SH-NF,78
2021/04/25,DE-SH-KI,17
2021/04/25,DE-SH-NF,83
2021/04/26,DE-SH-KI,0
2021/04/26,DE-SH-NF,114
2021/04/27,DE-SH-KI,0
2021/04/27,DE-SH-NF,21
2021/04/28,DE-SH-KI,23
2021/04/28,DE-SH-NF,66
2021/04/29,DE-SH-KI,0
2021/04/29,DE-SH-NF,33
2021/04/30,DE-SH-KI,0
2021/04/30,DE-SH-NF,1
2022/03/01,DE-SH-KI,14
2022/03/01,DE-SH-NF,0
2022/03/02,DE-SH-KI,9
2022/03/02,DE-SH-NF,3
2022/03/03,DE-SH-KI,0
2022/03/03,DE-SH-NF,19
2022/03/04,DE-SH-KI,0
2022/03/04,DE-SH-NF,22
2022/03/05,DE-SH-KI,0
2022/03/05,DE-SH-NF,33
2022/03/06,DE-SH-KI,22
2022/03/06,DE-SH-NF,19
2022/03/07,DE-SH-KI,23
2022/03/07,DE-SH-NF,20
2022/03/08,DE-SH-KI,1
2022/03/08,DE-SH-NF,25
2022/03/09,DE-SH-KI,0
2022/03/09,DE-SH-NF,0
2022/03/10,DE-SH-KI,0
2022/03/10,DE-SH-NF,10
2022/03/11,DE-SH-KI,0
2022/03/11,DE-SH-NF,0
2022/03/12,DE-SH-KI,0
2022/03/12,DE-SH-NF,52
2022/03/13,DE-SH-KI,0
2022/03/13,DE-SH-NF,50
2022/03/14,DE-SH-KI,0
2022/03/14,DE-SH-NF,31
2022/03/15,DE-SH-KI,0
2022/03/15,DE-SH-NF,4
2022/03/16,DE-SH-KI,0
2022/03/16,DE-SH-NF,0
2022/03/17,DE-SH-KI,0
2022/03/17,DE-SH-NF,0
2022/03/18,DE-SH-KI,0
2022/03/18,DE-SH-NF,25
2022/03/19,DE-SH-KI,13
2022/03/19,DE-SH-NF,0
2022/03/20,DE-SH-KI,0
2022/03/20,DE-SH-NF,34
2022/03/21,DE-SH-KI,1
2022/03/21,DE-SH-NF,18
2022/03/22,DE-SH-KI,0
2022/03/22,DE-SH-NF,30
2022/03/23,DE-SH-KI,0
2022/03/23,DE-SH-NF,0
2022/03/24,DE-SH-KI,1
2022/03/24,DE-SH-NF,0
2022/03/25,DE-SH-KI,0
2022/03/25,DE-SH-NF,45
2022/03/26,DE-SH-KI,0
2022/03/26,DE-SH-NF,9
2022/03/27,DE-SH-KI,0
2022/03/27,DE-SH-NF,59
2022/03/28,DE-SH-KI,0
2022/03/28,DE-SH-NF,3
2022/03/29,DE-SH-KI,0
2022/03/29,DE-SH-NF,22
2022/03/30,DE-SH-KI,10
2022/03/30,DE-SH-NF,7
2022/03/31,DE-SH-KI,0
2022/03/31,DE-SH-NF,9
2022/04/01,DE-SH-KI,1
2022/04/01,DE-SH-NF,4
2022/04/02,DE-SH-KI,0
2022/04/02,DE-SH-NF,26
2022/04/03,DE-SH-KI,0
2022/04/03,DE-SH-NF,40
2022/04/04,DE-SH-KI,0
2022/04/04,DE-SH-NF,18
2022/04/05,DE-SH-KI,0
2022/04/05,DE-SH-NF,8
2022/04/06,DE-SH-KI,0
2022/04/06,DE-SH-NF,3
2022/04/07,DE-SH-KI,2
2022/04/07,DE-SH-NF,0
2022/04/08,DE-SH-KI,21
2022/04/08,DE-SH-NF,0
2022/04/09,DE-SH-KI,19
2022/04/09,DE-SH-NF,1
2022/04/10,DE-SH-KI,0
2022/04/10,DE-SH-NF,0
2022/04/11,DE-SH-KI,0
2022/04/11,DE-SH-NF,42
2022/04/12,DE-SH-KI,0
2022/04/12,DE-SH-NF,72
2022/04/13,DE-SH-KI,0
2022/04/13,DE-SH-NF,39
2022/04/14,DE-SH-KI,0
2022/04/14,DE-SH-NF,71
2022/04/15,DE-SH-KI,0
2022/04/15,DE-SH-NF,32
2022/04/16,DE-SH-KI,0
2022/04/16,DE-SH-NF,55
2022/04/17,DE-SH-KI,2
2022/04/17,DE-SH-NF,69
2022/04/18,DE-SH-KI,32
2022/04/18,DE-SH-NF,73
2022/04/19,DE-SH-KI,0
2022/04/19,DE-SH-NF,44
2022/04/20,DE-SH-KI,0
2022/04/20,DE-SH-NF,74
2022/04/21,DE-SH-KI,1
2022/04/21,DE-SH-NF,57
2022/04/22,DE-SH-KI,1
2022/04/22,DE-SH-NF,81
2022/04/23,DE-SH-KI,22
2022/04/23,DE-SH-NF,39
2022/04/24,DE-SH-KI,0
2022/04/24,DE-SH-NF,25
2022/04/25,DE-SH-KI,0
2022/04/25,DE-SH-NF,87
2022/04/26,DE-SH-KI,0
2022/04/26,DE-SH-NF,69
2022/04/27,DE-SH-KI,0
2022/04/27,DE-SH-NF,48
2022/04/28,DE-SH-KI,0
2022/04/28,DE-SH-NF,47
2022/04/29,DE-SH-KI,0
2022/04/29,DE-SH-NF,44
2022/04/30,DE-SH-KI,0
2022/04/30,DE-SH-NF,6
2023/03/01,DE-SH-KI,10
2023/03/01,DE-SH-NF,0
2023/03/02,DE-SH-KI,0
2023/03/02,DE-SH-NF,27
2023/03/03,DE-SH-KI,3
2023/03/03,DE-SH-NF,0
2023/03/04,DE-SH-KI,0
2023/03/04,DE-SH-NF,26
2023/03/05,DE-SH-KI,0
2023/03/05,DE-SH-NF,38
2023/03/06,DE-SH-KI,0
