date,region,wind_speed,species,count,obs_freq
2020-01-01,Nord,,Mallard,1,1
2020-01-01,Nord,,Tufted Duck,25,1
2020-01-01,Süd,,Mallard,46,1
2020-01-01,Süd,,Eurasian Wigeon,7,1
2020-01-01,Süd,,Tufted Duck,68,1
2020-01-02,Nord,,Mallard,35,1
2020-01-02,Nord,,Tufted Duck,10,1
2020-01-02,Süd,,Mallard,1,1
2020-01-03,Nord,,Mallard,30,1
2020-01-03,Nord,,Tufted Duck,3,1
2020-01-03,Süd,,Mallard,40,1
2020-01-03,Süd,,Eurasian Wigeon,1,1
2020-01-03,Süd,,Tufted Duck,1,1
2020-01-04,Süd,,Mallard,1,1
2020-01-04,Süd,,Eurasian Wigeon,6,1
2020-01-04,Süd,,Tufted Duck,1,1
2020-01-05,Süd,,Mallard,1,1
2020-01-05,Süd,,Eurasian Wigeon,30,1
2020-01-05,Süd,,Tufted Duck,1,1
2020-01-06,Süd,,Mallard,40,1
2020-01-06,Süd,,Eurasian Wigeon,9,1
2020-01-06,Süd,,Tufted Duck,1,1
2020-01-07,Süd,,Mallard,5,1
2020-01-07,Süd,,Tufted Duck,6,1
2020-01-08,Süd,,Mallard,50,1
2020-01-08,Süd,,Tufted Duck,20,1
2020-01-10,Süd,,Mallard,5,1
2020-01-10,Süd,,Tufted Duck,23,1
2020-01-11,Süd,,Mallard,20,1
2020-01-11,Süd,,Eurasian Wigeon,6,1
2020-01-11,Süd,,Tufted Duck,350,1
2020-01-12,Nord,,Mallard,18,1
2020-01-12,Nord,,Tufted Duck,12,1
2020-01-12,Süd,,Mallard,5,1
2020-01-12,Süd,,Eurasian Wigeon,1,1
2020-01-12,Süd,,Tufted Duck,1,1
2020-01-13,Süd,,Mallard,1,1
2020-01-13,Süd,,Tufted Duck,1,1
2020-01-14,Nord,,Mallard,1,1
2020-01-14,Nord,,Tufted Duck,1,1
2020-01-14,Süd,,Mallard,10,1
2020-01-14,Süd,,Eurasian Wigeon,20,1
2020-01-14,Süd,,Tufted Duck,40,1
2020-01-15,Süd,,Mallard,19,1
2020-01-15,Süd,,Eurasian Wigeon,60,1
2020-01-15,Süd,,Tufted Duck,1,1
2020-01-16,Süd,,Mallard,2,1
2020-01-16,Süd,,Tufted Duck,3,1
2020-01-17,Süd,,Mallard,7,1
