species,lat,lon,date,locId,locName,area_type
Barnacle Goose,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Mute Swan,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Tufted Duck,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Common Goldeneye,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Common Merganser,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Ring-necked Pheasant,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Eurasian Coot,54.6811768,9.9939859,2026-02-04 16:00,L18200566,"Yachthafen, Maasholm",rural
Gadwall,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Mallard,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Green-winged Teal,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Common Pochard,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Greater Scaup,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Common Eider,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Rock Pigeon,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Black-headed Gull,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Common Gull,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
European Herring Gull,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Little Grebe,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Great Crested Grebe,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Red-throated Loon,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Great Cormorant,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Gray Heron,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Eurasian Jackdaw,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Rook,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Carrion Crow,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Eurasian Blackbird,53.9554838,10.8668589,2026-02-04 15:30,L13416357,"Anleger Priwallfähre, Travemünde",urban
Eurasian Jay,54.3370316,10.1207942,2026-02-04 15:18,L50272559,"KIEL, SCHLESWIG-HOLSTEIN (54.337, 10.121)",urban
House Sparrow,53.9618209,10.8853238,2026-02-04 15:02,L13435923,"Strand und Nordermole, Travemünde",rural
Greater White-fronted Goose,53.9015915,10.7194161,2026-02-04 15:00,L4004772,Schellbruch (NSG),rural
Whooper Swan,54.4162332,10.4158924,2026-02-04 14:17,L8695246,Schönberger Seebrücke,rural
Eurasian Magpie,54.3049419,10.0773921,2026-02-04 12:01,L58036438,"71 Rutkamp, Kiel, Schleswig-Holstein, DE (54,305, 10,077)",urban
Eurasian Blue Tit,54.3049419,10.0773921,2026-02-04 12:01,L58036438,"71 Rutkamp, Kiel, Schleswig-Holstein, DE (54,305, 10,077)",urban
Great Tit,54.3049419,10.0773921,2026-02-04 12:01,L58036438,"71 Rutkamp, Kiel, Schleswig-Holstein, DE (54,305, 10,077)",urban
