Date,Region,SpeciesRichness,Max_Temp
2020-03-01,Nord,20,8.9
2020-03-01,Süd,83,10.9
2020-03-02,Nord,16,9.5
2020-03-02,Süd,64,10.1
2020-03-03,Nord,0,7.8
2020-03-03,Süd,28,5.8
2020-03-04,Nord,16,7.5
2020-03-04,Süd,48,6.8
2020-03-05,Nord,0,9.5
2020-03-05,Süd,60,8.9
2020-03-06,Nord,31,6.5
2020-03-06,Süd,41,8.1
2020-03-07,Nord,0,7.8
2020-03-07,Süd,80,5.4
2020-03-08,Nord,0,11.6
2020-03-08,Süd,90,9.4
2020-03-09,Nord,16,10.8
2020-03-09,Süd,75,7.8
2020-03-10,Nord,0,10.9
2020-03-10,Süd,7,8.2
2020-03-11,Nord,0,12.2
2020-03-11,Süd,47,14.2
2020-03-12,Nord,2,10.8
2020-03-12,Süd,71,15.7
2020-03-13,Nord,1,8.4
2020-03-13,Süd,63,9.8
2020-03-14,Nord,0,8.4
2020-03-14,Süd,99,8.8
2020-03-15,Nord,36,13.6
2020-03-15,Süd,111,12.8
2020-03-16,Nord,0,12.4
2020-03-16,Süd,84,15.6
2020-03-17,Nord,3,11.6
2020-03-17,Süd,82,13.1
2020-03-18,Nord,0,13.6
2020-03-18,Süd,97,15.9
2020-03-19,Nord,1,10.4
2020-03-19,Süd,69,17.0
2020-03-20,Nord,1,8.6
2020-03-20,Süd,97,17.1
2020-03-21,Nord,1,6.3
2020-03-21,Süd,76,8.5
2020-03-22,Nord,3,6.4
2020-03-22,Süd,116,4.3
2020-03-23,Nord,0,6.4
2020-03-23,Süd,70,2.4
2020-03-24,Nord,1,7.9
2020-03-24,Süd,94,4.8
2020-03-25,Nord,0,9.3
2020-03-25,Süd,67,4.6
2020-03-26,Nord,0,9.9
2020-03-26,Süd,90,7.7
2020-03-27,Nord,0,13.7
2020-03-27,Süd,115,15.4
2020-03-28,Nord,0,11.9
2020-03-28,Süd,113,14.2
2020-03-29,Nord,0,5.7
2020-03-29,Süd,92,9.4
2020-03-30,Nord,0,6.4
2020-03-30,Süd,49,3.5
2020-03-31,Nord,0,5.4
2020-03-31,Süd,91,5.0
2020-04-01,Nord,0,8.6
2020-04-01,Süd,86,7.7
2020-04-02,Nord,0,10.1
2020-04-02,Süd,78,11.6
2020-04-03,Nord,11,8.2
2020-04-03,Süd,89,11.4
2020-04-04,Nord,24,11.9
2020-04-04,Süd,107,12.9
2020-04-05,Nord,25,16.2
2020-04-05,Süd,116,15.1
2020-04-06,Nord,59,20.9
2020-04-06,Süd,109,19.1
2020-04-07,Nord,10,16.5
2020-04-07,Süd,101,19.1
2020-04-08,Nord,1,21.2
2020-04-08,Süd,107,20.3
2020-04-09,Nord,1,16.2
2020-04-09,Süd,110,19.9
2020-04-10,Nord,3,12.1
2020-04-10,Süd,139,19.8
2020-04-11,Nord,4,16.2
2020-04-11,Süd,129,18.8
2020-04-12,Nord,6,21.0
2020-04-12,Süd,132,20.9
2020-04-13,Nord,27,9.9
2020-04-13,Süd,113,18.8
2020-04-14,Nord,0,8.7
2020-04-14,Süd,127,6.1
2020-04-15,Nord,1,14.8
2020-04-15,Süd,127,14.9
2020-04-16,Nord,36,16.2
2020-04-16,Süd,130,20.2
2020-04-17,Nord,1,14.4
2020-04-17,Süd,128,22.2
2020-04-18,Nord,6,15.8
2020-04-18,Süd,133,22.3
2020-04-19,Nord,26,13.3
2020-04-19,Süd,143,19.0
2020-04-20,Nord,2,15.2
2020-04-20,Süd,115,16.4
2020-04-21,Nord,2,16.0
2020-04-21,Süd,106,18.0
2020-04-22,Nord,6,17.3
2020-04-22,Süd,104,18.9
2020-04-23,Nord,40,20.6
2020-04-23,Süd,127,18.8
2020-04-24,Nord,49,17.2
2020-04-24,Süd,117,20.1
2020-04-25,Nord,0,15.4
2020-04-25,Süd,128,18.2
2020-04-26,Nord,24,13.2
2020-04-26,Süd,125,17.9
2020-04-27,Nord,14,19.8
2020-04-27,Süd,121,17.8
2020-04-28,Nord,4,16.8
2020-04-28,Süd,131,19.5
2020-04-29,Nord,48,15.1
2020-04-29,Süd,86,13.1
2020-04-30,Nord,21,15.6
2020-04-30,Süd,103,17.0
2021-03-01,Nord,18,7.2
2021-03-01,Süd,98,10.6
2021-03-02,Nord,19,9.6
2021-03-02,Süd,99,12.1
2021-03-03,Nord,14,13.4
2021-03-03,Süd,85,14.2
2021-03-04,Nord,23,6.4
2021-03-04,Süd,88,13.1
2021-03-05,Nord,25,5.8
2021-03-05,Süd,87,5.7
2021-03-06,Nord,32,6.8
2021-03-06,Süd,113,4.6
2021-03-07,Nord,2,6.1
2021-03-07,Süd,120,9.0
2021-03-08,Nord,29,5.8
2021-03-08,Süd,102,6.1
2021-03-09,Nord,10,4.1
2021-03-09,Süd,86,5.7
2021-03-10,Nord,20,7.4
2021-03-10,Süd,83,6.1
2021-03-11,Nord,4,10.7
2021-03-11,Süd,72,14.8
2021-03-12,Nord,4,8.1
2021-03-12,Süd,72,9.4
2021-03-13,Nord,7,8.4
2021-03-13,Süd,111,12.6
2021-03-14,Nord,39,7.8
2021-03-14,Süd,99,5.2
2021-03-15,Nord,22,6.9
2021-03-15,Süd,76,3.8
2021-03-16,Nord,31,7.4
2021-03-16,Süd,74,4.4
2021-03-17,Nord,35,7.9
2021-03-17,Süd,83,3.7
2021-03-18,Nord,18,6.1
2021-03-18,Süd,84,4.2
2021-03-19,Nord,30,5.2
2021-03-19,Süd,94,3.3
2021-03-20,Nord,32,5.1
2021-03-20,Süd,111,-0.2
2021-03-21,Nord,36,9.8
2021-03-21,Süd,104,1.0
2021-03-22,Nord,21,9.0
2021-03-22,Süd,90,3.1
2021-03-23,Nord,26,8.1
2021-03-23,Süd,83,6.2
2021-03-24,Nord,14,13.6
2021-03-24,Süd,110,12.1
2021-03-25,Nord,15,13.3
2021-03-25,Süd,111,15.1
2021-03-26,Nord,44,14.7
2021-03-26,Süd,108,16.4
2021-03-27,Nord,9,9.8
2021-03-27,Süd,111,9.6
2021-03-28,Nord,6,11.8
2021-03-28,Süd,132,13.1
2021-03-29,Nord,5,17.5
2021-03-29,Süd,116,17.3
2021-03-30,Nord,24,19.6
2021-03-30,Süd,121,19.5
2021-03-31,Nord,18,22.4
2021-03-31,Süd,125,20.6
2021-04-01,Nord,14,12.9
2021-04-01,Süd,119,21.5
2021-04-02,Nord,25,7.9
2021-04-02,Süd,129,12.5
2021-04-03,Nord,15,11.1
2021-04-03,Süd,133,7.1
2021-04-04,Nord,28,8.4
2021-04-04,Süd,142,9.9
2021-04-05,Nord,24,6.3
2021-04-05,Süd,132,13.4
2021-04-06,Nord,7,5.1
2021-04-06,Süd,103,2.8
2021-04-07,Nord,17,6.3
2021-04-07,Süd,111,2.8
2021-04-08,Nord,7,6.3
2021-04-08,Süd,131,5.7
2021-04-09,Nord,35,10.4
2021-04-09,Süd,132,15.8
2021-04-10,Nord,45,9.1
2021-04-10,Süd,129,15.4
2021-04-11,Nord,18,10.8
2021-04-11,Süd,133,19.0
2021-04-12,Nord,4,7.8
2021-04-12,Süd,87,8.4
2021-04-13,Nord,26,8.9
2021-04-13,Süd,121,5.6
2021-04-14,Nord,9,8.2
2021-04-14,Süd,122,5.8
2021-04-15,Nord,10,9.2
2021-04-15,Süd,125,6.3
2021-04-16,Nord,11,10.2
2021-04-16,Süd,118,6.0
2021-04-17,Nord,39,12.8
2021-04-17,Süd,151,6.1
2021-04-18,Nord,30,14.6
2021-04-18,Süd,150,8.1
2021-04-19,Nord,14,15.9
2021-04-19,Süd,140,9.8
2021-04-20,Nord,27,15.7
2021-04-20,Süd,138,11.4
2021-04-21,Nord,14,12.1
2021-04-21,Süd,127,14.9
2021-04-22,Nord,4,9.1
2021-04-22,Süd,135,12.9
2021-04-23,Nord,11,12.1
2021-04-23,Süd,146,13.9
2021-04-24,Nord,35,11.9
2021-04-24,Süd,157,16.6
2021-04-25,Nord,12,10.6
2021-04-25,Süd,162,14.4
2021-04-26,Nord,30,10.1
