Date,Region,Max_Temp
2020-03-01,Nord,8.9
2020-03-01,Süd,10.9
2020-03-02,Nord,9.5
2020-03-02,Süd,10.1
2020-03-03,Nord,7.8
2020-03-03,Süd,5.8
2020-03-04,Nord,7.5
2020-03-04,Süd,6.8
2020-03-05,Nord,9.5
2020-03-05,Süd,8.9
2020-03-06,Nord,6.5
2020-03-06,Süd,8.1
2020-03-07,Nord,7.8
2020-03-07,Süd,5.4
2020-03-08,Nord,11.6
2020-03-08,Süd,9.4
2020-03-09,Nord,10.8
2020-03-09,Süd,7.8
2020-03-10,Nord,10.9
2020-03-10,Süd,8.2
2020-03-11,Nord,12.2
2020-03-11,Süd,14.2
2020-03-12,Nord,10.8
2020-03-12,Süd,15.7
2020-03-13,Nord,8.4
2020-03-13,Süd,9.8
2020-03-14,Nord,8.4
2020-03-14,Süd,8.8
2020-03-15,Nord,13.6
2020-03-15,Süd,12.8
2020-03-16,Nord,12.4
2020-03-16,Süd,15.6
2020-03-17,Nord,11.6
2020-03-17,Süd,13.1
2020-03-18,Nord,13.6
2020-03-18,Süd,15.9
2020-03-19,Nord,10.4
2020-03-19,Süd,17.0
2020-03-20,Nord,8.6
2020-03-20,Süd,17.1
2020-03-21,Nord,6.3
2020-03-21,Süd,8.5
2020-03-22,Nord,6.4
2020-03-22,Süd,4.3
2020-03-23,Nord,6.4
2020-03-23,Süd,2.4
2020-03-24,Nord,7.9
2020-03-24,Süd,4.8
2020-03-25,Nord,9.3
2020-03-25,Süd,4.6
2020-03-26,Nord,9.9
2020-03-26,Süd,7.7
2020-03-27,Nord,13.7
2020-03-27,Süd,15.4
2020-03-28,Nord,11.9
2020-03-28,Süd,14.2
2020-03-29,Nord,5.7
2020-03-29,Süd,9.4
2020-03-30,Nord,6.4
2020-03-30,Süd,3.5
2020-03-31,Nord,5.4
2020-03-31,Süd,5.0
2020-04-01,Nord,8.6
2020-04-01,Süd,7.7
2020-04-02,Nord,10.1
2020-04-02,Süd,11.6
2020-04-03,Nord,8.2
2020-04-03,Süd,11.4
2020-04-04,Nord,11.9
2020-04-04,Süd,12.9
2020-04-05,Nord,16.2
2020-04-05,Süd,15.1
2020-04-06,Nord,20.9
2020-04-06,Süd,19.1
2020-04-07,Nord,16.5
2020-04-07,Süd,19.1
2020-04-08,Nord,21.2
2020-04-08,Süd,20.3
2020-04-09,Nord,16.2
2020-04-09,Süd,19.9
2020-04-10,Nord,12.1
2020-04-10,Süd,19.8
2020-04-11,Nord,16.2
2020-04-11,Süd,18.8
2020-04-12,Nord,21.0
2020-04-12,Süd,20.9
2020-04-13,Nord,9.9
2020-04-13,Süd,18.8
2020-04-14,Nord,8.7
2020-04-14,Süd,6.1
2020-04-15,Nord,14.8
2020-04-15,Süd,14.9
2020-04-16,Nord,16.2
2020-04-16,Süd,20.2
2020-04-17,Nord,14.4
2020-04-17,Süd,22.2
2020-04-18,Nord,15.8
2020-04-18,Süd,22.3
2020-04-19,Nord,13.3
2020-04-19,Süd,19.0
2020-04-20,Nord,15.2
2020-04-20,Süd,16.4
2020-04-21,Nord,16.0
2020-04-21,Süd,18.0
2020-04-22,Nord,17.3
2020-04-22,Süd,18.9
2020-04-23,Nord,20.6
2020-04-23,Süd,18.8
2020-04-24,Nord,17.2
2020-04-24,Süd,20.1
2020-04-25,Nord,15.4
2020-04-25,Süd,18.2
2020-04-26,Nord,13.2
2020-04-26,Süd,17.9
2020-04-27,Nord,19.8
2020-04-27,Süd,17.8
2020-04-28,Nord,16.8
2020-04-28,Süd,19.5
2020-04-29,Nord,15.1
2020-04-29,Süd,13.1
2020-04-30,Nord,15.6
2020-04-30,Süd,17.0
2021-03-01,Nord,7.2
2021-03-01,Süd,10.6
2021-03-02,Nord,9.6
2021-03-02,Süd,12.1
2021-03-03,Nord,13.4
2021-03-03,Süd,14.2
2021-03-04,Nord,6.4
2021-03-04,Süd,13.1
2021-03-05,Nord,5.8
2021-03-05,Süd,5.7
2021-03-06,Nord,6.8
2021-03-06,Süd,4.6
2021-03-07,Nord,6.1
2021-03-07,Süd,9.0
2021-03-08,Nord,5.8
2021-03-08,Süd,6.1
2021-03-09,Nord,4.1
2021-03-09,Süd,5.7
2021-03-10,Nord,7.4
2021-03-10,Süd,6.1
2021-03-11,Nord,10.7
2021-03-11,Süd,14.8
2021-03-12,Nord,8.1
2021-03-12,Süd,9.4
2021-03-13,Nord,8.4
2021-03-13,Süd,12.6
2021-03-14,Nord,7.8
2021-03-14,Süd,5.2
2021-03-15,Nord,6.9
2021-03-15,Süd,3.8
2021-03-16,Nord,7.4
2021-03-16,Süd,4.4
2021-03-17,Nord,7.9
2021-03-17,Süd,3.7
2021-03-18,Nord,6.1
2021-03-18,Süd,4.2
2021-03-19,Nord,5.2
2021-03-19,Süd,3.3
2021-03-20,Nord,5.1
