Date,Region,Species,Count
2021/01/02,DE-NI,Common Crane,2
2021/01/03,DE-NI,Common Crane,9
2021/01/09,DE-NI,Common Crane,29
2021/01/17,DE-NI,Common Crane,30
2021/01/30,DE-NI,Common Crane,25
2021/01/31,DE-NI,Common Crane,30
2021/02/04,DE-NI,Common Crane,24
2021/02/07,DE-NI,Common Crane,30
2021/02/09,DE-NI,Common Crane,66
2021/02/13,DE-NI,Common Crane,100
2021/02/14,DE-NI,Common Crane,3
2021/02/16,DE-NI,Common Crane,80
2021/02/17,DE-NI,Common Crane,18
2021/02/18,DE-NI,Common Crane,0
2021/02/19,DE-NI,Common Crane,2
2021/02/20,DE-NI,Common Crane,90
2021/02/21,DE-NI,Common Crane,77
2021/02/22,DE-NI,Common Crane,130
2021/02/23,DE-NI,Common Crane,68
2021/02/24,DE-NI,Common Crane,30
2021/02/25,DE-NI,Common Crane,5
2021/02/27,DE-NI,Common Crane,2
2021/02/28,DE-NI,Common Crane,120
2021/03/02,DE-NI,Common Crane,1
2021/03/03,DE-NI,Common Crane,38
2021/03/05,DE-NI,Common Crane,60
2021/03/06,DE-NI,Common Crane,11
2021/03/08,DE-NI,Common Crane,1
2021/03/09,DE-NI,Common Crane,1
2021/03/10,DE-NI,Common Crane,2
2021/03/12,DE-NI,Common Crane,2
2021/03/13,DE-NI,Common Crane,0
2021/03/14,DE-NI,Common Crane,20
2021/03/15,DE-NI,Common Crane,7
2021/03/16,DE-NI,Common Crane,0
2021/03/17,DE-NI,Common Crane,3
2021/03/18,DE-NI,Common Crane,8
2021/03/19,DE-NI,Common Crane,2
2021/03/20,DE-NI,Common Crane,13
2021/03/21,DE-NI,Common Crane,1
2021/03/24,DE-NI,Common Crane,4
2021/03/25,DE-NI,Common Crane,1
2021/03/26,DE-NI,Common Crane,1
2021/03/28,DE-NI,Common Crane,1
2021/03/30,DE-NI,Common Crane,1
2021/03/31,DE-NI,Common Crane,11
2021/04/02,DE-NI,Common Crane,1
2021/04/03,DE-NI,Common Crane,3
2021/04/04,DE-NI,Common Crane,3
2021/04/06,DE-NI,Common Crane,5
2021/04/07,DE-NI,Common Crane,4
2021/04/08,DE-NI,Common Crane,4
2021/04/09,DE-NI,Common Crane,1
2021/04/10,DE-NI,Common Crane,0
2021/04/13,DE-NI,Common Crane,4
2021/04/16,DE-NI,Common Crane,2
2021/04/17,DE-NI,Common Crane,2
2021/04/18,DE-NI,Common Crane,8
2021/04/20,DE-NI,Common Crane,3
2021/04/24,DE-NI,Common Crane,2
2021/04/25,DE-NI,Common Crane,1
2021/04/26,DE-NI,Common Crane,2
2021/04/27,DE-NI,Common Crane,2
2021/04/28,DE-NI,Common Crane,6
2021/04/30,DE-NI,Common Crane,3
2021/05/01,DE-NI,Common Crane,2
2021/05/03,DE-NI,Common Crane,6
2021/05/06,DE-NI,Common Crane,1
2021/05/07,DE-NI,Common Crane,0
2021/05/08,DE-NI,Common Crane,1
2021/05/13,DE-NI,Common Crane,1
2021/05/14,DE-NI,Common Crane,2
2021/05/15,DE-NI,Common Crane,2
2021/05/17,DE-NI,Common Crane,3
2021/05/18,DE-NI,Common Crane,3
2021/05/19,DE-NI,Common Crane,4
2021/05/20,DE-NI,Common Crane,6
2021/05/21,DE-NI,Common Crane,2
2021/05/22,DE-NI,Common Crane,2
2021/05/23,DE-NI,Common Crane,8
2021/05/24,DE-NI,Common Crane,3
2021/05/25,DE-NI,Common Crane,8
2021/05/26,DE-NI,Common Crane,8
2021/05/27,DE-NI,Common Crane,6
2021/05/28,DE-NI,Common Crane,1
2021/05/29,DE-NI,Common Crane,6
2021/05/30,DE-NI,Common Crane,15
2021/05/31,DE-NI,Common Crane,2
2021/06/01,DE-NI,Common Crane,28
2021/06/02,DE-NI,Common Crane,1
2021/06/05,DE-NI,Common Crane,1
2021/06/06,DE-NI,Common Crane,3
2021/06/10,DE-NI,Common Crane,1
2021/06/12,DE-NI,Common Crane,3
2021/06/13,DE-NI,Common Crane,1
2021/06/16,DE-NI,Common Crane,21
2021/06/20,DE-NI,Common Crane,1
2021/06/27,DE-NI,Common Crane,0
2021/06/28,DE-NI,Common Crane,2
2021/07/04,DE-NI,Common Crane,14
2021/07/05,DE-NI,Common Crane,2
2021/07/08,DE-NI,Common Crane,9
2021/07/10,DE-NI,Common Crane,10
2021/07/12,DE-NI,Common Crane,3
2021/07/14,DE-NI,Common Crane,1
2021/07/16,DE-NI,Common Crane,1
2021/07/17,DE-NI,Common Crane,10
2021/07/18,DE-NI,Common Crane,9
2021/07/20,DE-NI,Common Crane,2
2021/07/23,DE-NI,Common Crane,2
2021/07/24,DE-NI,Common Crane,2
2021/07/27,DE-NI,Common Crane,3
2021/07/29,DE-NI,Common Crane,2
2021/07/31,DE-NI,Common Crane,0
2021/08/03,DE-NI,Common Crane,2
2021/08/06,DE-NI,Common Crane,2
2021/08/07,DE-NI,Common Crane,80
2021/08/08,DE-NI,Common Crane,8
2021/08/10,DE-NI,Common Crane,1
2021/08/13,DE-NI,Common Crane,3
2021/08/14,DE-NI,Common Crane,128
2021/08/15,DE-NI,Common Crane,3
2021/08/17,DE-NI,Common Crane,19
2021/08/19,DE-NI,Common Crane,2
2021/08/20,DE-NI,Common Crane,0
2021/08/21,DE-NI,Common Crane,5
2021/08/22,DE-NI,Common Crane,4
2021/08/23,DE-NI,Common Crane,32
2021/08/26,DE-NI,Common Crane,4
2021/09/01,DE-NI,Common Crane,2
2021/09/02,DE-NI,Common Crane,4
2021/09/03,DE-NI,Common Crane,3
2021/09/04,DE-NI,Common Crane,2
2021/09/05,DE-NI,Common Crane,3
2021/09/12,DE-NI,Common Crane,6
2021/09/14,DE-NI,Common Crane,22
2021/09/16,DE-NI,Common Crane,1
2021/09/18,DE-NI,Common Crane,2
2021/09/19,DE-NI,Common Crane,8
2021/09/20,DE-NI,Common Crane,11
2021/09/21,DE-NI,Common Crane,2
2021/09/22,DE-NI,Common Crane,4
2021/09/23,DE-NI,Common Crane,16
2021/09/24,DE-NI,Common Crane,5
2021/09/25,DE-NI,Common Crane,2
2021/09/26,DE-NI,Common Crane,32
2021/09/27,DE-NI,Common Crane,11
2021/09/28,DE-NI,Common Crane,2
2021/09/29,DE-NI,Common Crane,2
2021/09/30,DE-NI,Common Crane,5
2021/10/01,DE-NI,Common Crane,0
2021/10/02,DE-NI,Common Crane,4
2021/10/04,DE-NI,Common Crane,3
2021/10/06,DE-NI,Common Crane,2
2021/10/07,DE-NI,Common Crane,0
2021/10/08,DE-NI,Common Crane,2
2021/10/09,DE-NI,Common Crane,120
2021/10/10,DE-NI,Common Crane,45
2021/10/12,DE-NI,Common Crane,3
