Date,Region,SpeciesRichness
2020-03-01,Nord,20
2020-03-01,Süd,83
2020-03-02,Nord,16
2020-03-02,Süd,64
2020-03-03,Nord,0
2020-03-03,Süd,28
2020-03-04,Nord,16
2020-03-04,Süd,48
2020-03-05,Nord,0
2020-03-05,Süd,60
2020-03-06,Nord,31
2020-03-06,Süd,41
2020-03-07,Nord,0
2020-03-07,Süd,80
2020-03-08,Nord,0
2020-03-08,Süd,90
2020-03-09,Nord,16
2020-03-09,Süd,75
2020-03-10,Nord,0
2020-03-10,Süd,7
2020-03-11,Nord,0
2020-03-11,Süd,47
2020-03-12,Nord,2
2020-03-12,Süd,71
2020-03-13,Nord,1
2020-03-13,Süd,63
2020-03-14,Nord,0
2020-03-14,Süd,99
2020-03-15,Nord,36
2020-03-15,Süd,111
2020-03-16,Nord,0
2020-03-16,Süd,84
2020-03-17,Nord,3
2020-03-17,Süd,82
2020-03-18,Nord,0
2020-03-18,Süd,97
2020-03-19,Nord,1
2020-03-19,Süd,69
2020-03-20,Nord,1
2020-03-20,Süd,97
2020-03-21,Nord,1
2020-03-21,Süd,76
2020-03-22,Nord,3
2020-03-22,Süd,116
2020-03-23,Nord,0
2020-03-23,Süd,70
2020-03-24,Nord,1
2020-03-24,Süd,94
2020-03-25,Nord,0
2020-03-25,Süd,67
2020-03-26,Nord,0
2020-03-26,Süd,90
2020-03-27,Nord,0
2020-03-27,Süd,115
2020-03-28,Nord,0
2020-03-28,Süd,113
2020-03-29,Nord,0
2020-03-29,Süd,92
2020-03-30,Nord,0
2020-03-30,Süd,49
2020-03-31,Nord,0
2020-03-31,Süd,91
2020-04-01,Nord,0
2020-04-01,Süd,86
2020-04-02,Nord,0
2020-04-02,Süd,78
2020-04-03,Nord,11
2020-04-03,Süd,89
2020-04-04,Nord,24
2020-04-04,Süd,107
2020-04-05,Nord,25
2020-04-05,Süd,116
2020-04-06,Nord,59
2020-04-06,Süd,109
2020-04-07,Nord,10
2020-04-07,Süd,101
2020-04-08,Nord,1
2020-04-08,Süd,107
2020-04-09,Nord,1
2020-04-09,Süd,110
2020-04-10,Nord,3
2020-04-10,Süd,139
2020-04-11,Nord,4
2020-04-11,Süd,129
2020-04-12,Nord,6
2020-04-12,Süd,132
2020-04-13,Nord,27
2020-04-13,Süd,113
2020-04-14,Nord,0
2020-04-14,Süd,127
