date,region,wind_speed
2020-01-01,Nord,11.3
2020-01-01,Süd,13.2
2020-01-02,Nord,18.7
2020-01-02,Süd,8.2
2020-01-03,Nord,22.2
2020-01-03,Süd,22.7
2020-01-04,Nord,30.7
2020-01-04,Süd,26.9
2020-01-05,Nord,18.0
2020-01-05,Süd,26.2
2020-01-06,Nord,18.6
2020-01-06,Süd,11.2
2020-01-07,Nord,21.6
2020-01-07,Süd,19.5
2020-01-08,Nord,25.4
2020-01-08,Süd,11.1
2020-01-09,Nord,23.1
2020-01-09,Süd,14.1
2020-01-10,Nord,25.9
2020-01-10,Süd,20.5
2020-01-11,Nord,25.0
2020-01-11,Süd,16.0
2020-01-12,Nord,28.4
2020-01-12,Süd,11.5
2020-01-13,Nord,23.8
2020-01-13,Süd,10.3
2020-01-14,Nord,31.2
2020-01-14,Süd,10.8
2020-01-15,Nord,31.5
2020-01-15,Süd,13.8
2020-01-16,Nord,17.5
2020-01-16,Süd,16.9
2020-01-17,Nord,19.7
2020-01-17,Süd,15.0
2020-01-18,Nord,29.3
2020-01-18,Süd,15.1
2020-01-19,Nord,15.8
2020-01-19,Süd,9.1
2020-01-20,Nord,15.6
2020-01-20,Süd,15.4
2020-01-21,Nord,22.5
2020-01-21,Süd,9.7
2020-01-22,Nord,19.2
2020-01-22,Süd,9.8
2020-01-23,Nord,11.8
2020-01-23,Süd,13.2
2020-01-24,Nord,15.1
2020-01-24,Süd,9.2
2020-01-25,Nord,15.3
2020-01-25,Süd,9.7
2020-01-26,Nord,16.2
2020-01-26,Süd,9.4
2020-01-27,Nord,21.7
2020-01-27,Süd,11.5
2020-01-28,Nord,31.4
2020-01-28,Süd,33.9
2020-01-29,Nord,29.5
2020-01-29,Süd,29.2
2020-01-30,Nord,29.8
2020-01-30,Süd,18.6
2020-01-31,Nord,31.0
2020-01-31,Süd,31.7
2020-02-01,Nord,30.2
2020-02-01,Süd,34.5
2020-02-02,Nord,30.6
2020-02-02,Süd,34.7
2020-02-03,Nord,25.2
2020-02-03,Süd,20.3
2020-02-04,Nord,23.1
2020-02-04,Süd,44.2
2020-02-05,Nord,18.4
2020-02-05,Süd,25.9
2020-02-06,Nord,18.2
2020-02-06,Süd,11.1
2020-02-07,Nord,16.8
2020-02-07,Süd,10.8
2020-02-08,Nord,19.0
2020-02-08,Süd,9.4
2020-02-09,Nord,45.9
2020-02-09,Süd,18.8
2020-02-10,Nord,38.5
2020-02-10,Süd,50.3
2020-02-11,Nord,37.9
2020-02-11,Süd,42.5
2020-02-12,Nord,34.6
2020-02-12,Süd,31.8
2020-02-13,Nord,24.2
2020-02-13,Süd,26.2
2020-02-14,Nord,11.5
2020-02-14,Süd,27.7
2020-02-15,Nord,28.1
2020-02-15,Süd,10.9
2020-02-16,Nord,46.6
2020-02-16,Süd,16.1
2020-02-17,Nord,34.2
2020-02-17,Süd,21.1
2020-02-18,Nord,36.0
2020-02-18,Süd,27.6
2020-02-19,Nord,26.1
2020-02-19,Süd,32.5
2020-02-20,Nord,34.3
2020-02-20,Süd,15.3
2020-02-21,Nord,32.8
2020-02-21,Süd,32.8
2020-02-22,Nord,36.3
2020-02-22,Süd,24.0
2020-02-23,Nord,31.8
2020-02-23,Süd,41.6
2020-02-24,Nord,28.2
2020-02-24,Süd,38.2
2020-02-25,Nord,36.5
2020-02-25,Süd,31.6
2020-02-26,Nord,17.9
2020-02-26,Süd,31.5
2020-02-27,Nord,18.9
2020-02-27,Süd,50.6
2020-02-28,Nord,27.1
2020-02-28,Süd,48.3
2020-02-29,Nord,37.4
2020-02-29,Süd,19.2
2020-03-01,Nord,33.8
2020-03-01,Süd,22.6
2020-03-02,Nord,15.7
2020-03-02,Süd,26.0
