date,region,species,obs_freq,count,wind_speed
2020-01-01,Nord,Mallard,1,1,11.3
2020-01-01,Nord,Tufted Duck,1,25,11.3
2020-01-01,Süd,Mallard,1,46,13.2
2020-01-01,Süd,Eurasian Wigeon,1,7,13.2
2020-01-01,Süd,Tufted Duck,1,68,13.2
2020-01-02,Nord,Mallard,1,35,18.7
2020-01-02,Nord,Tufted Duck,1,10,18.7
2020-01-02,Süd,Mallard,1,1,8.2
2020-01-03,Nord,Mallard,1,30,22.2
2020-01-03,Nord,Tufted Duck,1,3,22.2
2020-01-03,Süd,Mallard,1,40,22.7
2020-01-03,Süd,Eurasian Wigeon,1,1,22.7
2020-01-03,Süd,Tufted Duck,1,1,22.7
2020-01-04,Süd,Mallard,1,1,26.9
2020-01-04,Süd,Eurasian Wigeon,1,6,26.9
2020-01-04,Süd,Tufted Duck,1,1,26.9
2020-01-05,Süd,Mallard,1,1,26.2
2020-01-05,Süd,Eurasian Wigeon,1,30,26.2
2020-01-05,Süd,Tufted Duck,1,1,26.2
2020-01-06,Süd,Mallard,1,40,11.2
2020-01-06,Süd,Eurasian Wigeon,1,9,11.2
2020-01-06,Süd,Tufted Duck,1,1,11.2
2020-01-07,Süd,Mallard,1,5,19.5
2020-01-07,Süd,Tufted Duck,1,6,19.5
2020-01-08,Süd,Mallard,1,50,11.1
2020-01-08,Süd,Tufted Duck,1,20,11.1
2020-01-10,Süd,Mallard,1,5,20.5
2020-01-10,Süd,Tufted Duck,1,23,20.5
2020-01-11,Süd,Mallard,1,20,16.0
2020-01-11,Süd,Eurasian Wigeon,1,6,16.0
2020-01-11,Süd,Tufted Duck,1,350,16.0
2020-01-12,Nord,Mallard,1,18,28.4
2020-01-12,Nord,Tufted Duck,1,12,28.4
2020-01-12,Süd,Mallard,1,5,11.5
2020-01-12,Süd,Eurasian Wigeon,1,1,11.5
2020-01-12,Süd,Tufted Duck,1,1,11.5
2020-01-13,Süd,Mallard,1,1,10.3
2020-01-13,Süd,Tufted Duck,1,1,10.3
2020-01-14,Nord,Mallard,1,1,31.2
2020-01-14,Nord,Tufted Duck,1,1,31.2
2020-01-14,Süd,Mallard,1,10,10.8
2020-01-14,Süd,Eurasian Wigeon,1,20,10.8
2020-01-14,Süd,Tufted Duck,1,40,10.8
2020-01-15,Süd,Mallard,1,19,13.8
2020-01-15,Süd,Eurasian Wigeon,1,60,13.8
2020-01-15,Süd,Tufted Duck,1,1,13.8
2020-01-16,Süd,Mallard,1,2,16.9
2020-01-16,Süd,Tufted Duck,1,3,16.9
2020-01-17,Süd,Mallard,1,7,15.0
2020-01-17,Süd,Tufted Duck,1,9,15.0
2020-01-18,Süd,Mallard,1,1,15.1
2020-01-18,Süd,Tufted Duck,1,2,15.1
2020-01-19,Süd,Mallard,1,14,9.1
2020-01-19,Süd,Tufted Duck,1,37,9.1
2020-01-20,Süd,Mallard,1,2,15.4
2020-01-20,Süd,Eurasian Wigeon,1,5,15.4
2020-01-20,Süd,Tufted Duck,1,3,15.4
2020-01-21,Süd,Tufted Duck,1,1,9.7
2020-01-22,Süd,Mallard,1,120,9.8
2020-01-22,Süd,Tufted Duck,1,15,9.8
2020-01-23,Süd,Mallard,1,10,13.2
2020-01-23,Süd,Tufted Duck,1,2,13.2
2020-01-24,Süd,Mallard,1,134,9.2
2020-01-24,Süd,Eurasian Wigeon,1,2,9.2
2020-01-24,Süd,Tufted Duck,1,150,9.2
2020-01-25,Süd,Mallard,1,10,9.7
2020-01-25,Süd,Eurasian Wigeon,1,18,9.7
2020-01-25,Süd,Tufted Duck,1,1,9.7
2020-01-26,Nord,Mallard,1,50,16.2
2020-01-26,Nord,Tufted Duck,1,1,16.2
2020-01-26,Süd,Mallard,1,1,9.4
2020-01-26,Süd,Tufted Duck,1,10,9.4
2020-01-27,Süd,Mallard,1,2,11.5
2020-01-27,Süd,Tufted Duck,1,5,11.5
2020-01-29,Süd,Mallard,1,7,29.2
2020-01-30,Süd,Mallard,1,9,18.6
2020-01-30,Süd,Eurasian Wigeon,1,6,18.6
2020-01-30,Süd,Tufted Duck,1,400,18.6
2020-01-31,Nord,Mallard,1,13,31.0
2020-01-31,Nord,Tufted Duck,1,11,31.0
2020-01-31,Süd,Mallard,1,15,31.7
2020-01-31,Süd,Tufted Duck,1,239,31.7
2020-02-01,Süd,Mallard,1,1,34.5
2020-02-01,Süd,Eurasian Wigeon,1,114,34.5
2020-02-01,Süd,Tufted Duck,1,25,34.5
2020-02-02,Nord,Mallard,1,23,30.6
2020-02-02,Nord,Tufted Duck,1,9,30.6
2020-02-02,Süd,Mallard,1,2,34.7
2020-02-02,Süd,Eurasian Wigeon,1,5,34.7
2020-02-02,Süd,Tufted Duck,1,20,34.7
2020-02-03,Süd,Mallard,1,1,20.3
2020-02-03,Süd,Tufted Duck,1,95,20.3
2020-02-04,Süd,Mallard,1,15,44.2
2020-02-04,Süd,Tufted Duck,1,5,44.2
2020-02-05,Süd,Mallard,1,2,25.9
